구별,CCTV댓수,최근증가율,인구수,내국인,외국인,고령자,외국인비율,고령자비율
종로구,1715,0.20689655172413793,153789,144683,9106,27818,0.027149995825829765,0.08294076256127085
중구,2447,0.7898423817863398,131787,122499,9288,24392,0.032253807741191666,0.08470444427467132
용산구,2611,0.7863568215892054,237285,222953,14332,39070,0.027902811307530567,0.07606494821275601
성동구,3829,0.6348547717842323,292672,285990,6682,46380,0.010577404056201759,0.07341813830090356
광진구,3211,1.1229235880398671,352627,339996,12631,51723,0.016686108032344445,0.0683283640057756
동대문구,2628,0.3633276740237691,352006,337400,14606,62211,0.019062335638580414,0.08119176793179009
중랑구,3737,1.9054770318021201,391885,387350,4535,71682,0.005301291013405779,0.08379429821895326
성북구,4602,0.7758037225042301,440142,430528,9614,74709,0.010067089496991078,0.07822989278455444
강북구,3090,4.292929292929293,302563,299182,3381,64333,0.0050503466231688575,0.09609699772502872
도봉구,1930,0.8543689320388349,319373,317366,2007,64160,0.0028552893274491893,0.09127820789693074
노원구,2492,0.6847181008902077,514946,510956,3990,88345,0.003568116597823181,0.07900382477059872
은평구,4131,1.1785714285714286,477173,473307,3866,87241,0.0037116438665229117,0.08375776579392792
서대문구,3055,0.4979612640163099,315659,304819,10840,54268,0.01581129136242572,0.07915564203469733
마포구,2496,0.9541734860883797,378686,368905,9781,54582,0.012046248925431735,0.06722302002330181
양천구,3650,0.8380044843049327,450487,447302,3185,68627,0.0032848563481267037,0.07077859861943211
강서구,2744,0.7911439114391144,579768,574315,5453,92558,0.0043551043292276775,0.07392256491924727
구로구,4608,0.48831263696128563,421163,396754,24409,72611,0.026678339601524475,0.07936174840453496
금천구,2411,1.5031779661016949,244891,230811,14080,41041,0.026524849149339797,0.07731579076264593
영등포구,4056,1.0538922155688624,400908,376837,24071,62516,0.027849252370616848,0.0723286885132102
동작구,2306,0.8361445783132531,394364,385483,8881,66613,0.010382993449396206,0.07787888105445664
관악구,5149,0.48294597041955933,499449,485699,13750,79871,0.012746009572021443,0.07403902040195816
서초구,4082,0.5087719298245614,416167,412279,3888,60678,0.004353804876082292,0.06794757517256207
강남구,6871,0.6324171590033393,537800,533042,4758,78226,0.004123672026804735,0.06779705085515493
송파구,2897,2.043093922651934,663965,658338,5627,97691,0.003947051846177912,0.06852522514749712
강동구,2809,1.1225,466472,462664,3808,74070,0.0037814767222699983,0.07355409160150703
